"Measure_code","Topic","Measure","Chart_title","Measure_short","Polarity","y_axis_name","state_funded_flag","Table_status","Description","Last Update","Next Update","Data Owner (DO) /Supplier and Contact Details","Methodology","Hyperlink(s)","dps","Year_Type","No_Quartile"
"368","All Pupil Absence & Exclusions","% session missed through overall absence for CIN who are subject to a Child Protection Plan 3 Terms","Children in Need subject to a Child Protection Plan sessions missed  - Total absence (%)","CPPTotalAb_3Term","Low","% CIN","State Funded","absence_six_half_terms_la","Absence data is collected one term in arrears of the school census. In 2020, due to the pandemic absence data for 2019/20 was only collected for the autumn term 2019. In 2020 and 2021 autumn term absence data was included in this statistical release. In recent years, autumn term absence rates have given reasonable indications of trends in the full year. However, absence in a single term can be more affected by the level of seasonal flu or other illnesses. Since the return of the full year absence data in 2021, the autumn term absence data is no longer included in this statistical release from 2022.

During 2020/21, an additional code was introduced to record where pupils were not attending in circumstances related to coronavirus (COVID-19). This includes pupils self-isolating and shielding, including when a class or bubble was required to stay at home. During these sessions, these children could not attend school and so they are treated separately, and not counted within the standard absence rates within this publication. Where a pupil was not attending in these circumstances, schools were expected to provide immediate access to remote education. For most of the spring term, only children of critical workers and vulnerable pupils could attend school during the period of lockdown from 4 January 2021. Restrictions were lifted on attendance from 8 March 2021 for all other pupils, four school weeks prior to the end of term.  Due to the disruption faced during the spring term, caution should be taken when comparing data to previous years.","45778","46113","DfE","For the social care groups, absence data is matched to school census data for each school type, so the pupils included are those on the school census with absence data. The all pupils comparison figures taken from the national publication are produced using a different methodology based on enrolments and the school type is allocated in a different way. As a result of this, the all pupils comparison is not provided by school type as it is not appropriate to compare. The all pupils comparison for absence is taken from Pupil absence in schools in England and includes absence for all pupils who attend the same types of school as the social care groups (state-funded primary, state-funded secondary, special, and state-funded alternative provisions schools. The social care groups and the all pupils comparison absence data is for children of compulsory school age (age 5 to 15 at 31st August).","https://explore-education-statistics.service.gov.uk/find-statistics/outcomes-for-children-in-need-including-children-looked-after-by-local-authorities-in-england",NA,"Academic Year",NA
"270","All Pupil Absence & Exclusions","Percentage of LAC who are classed as persistent absentees","Children looked after who are classed as persistent absentees (%)","LAC_Pers_Abs","Low","% of Looked After Children","State Funded","absence_six_half_terms_la","Pupil enrolments missing 10 or more percent of their own possible sessions (due to authorised or unauthorised absence) are classified as persistent absentees.","45778","46113","DfE","For the social care groups, absence data is matched to school census data for each school type. The all pupils comparison figures taken from the national publication are produced using a different methodology based on enrolments and the school type is allocated in a different way. As a result of this, the all pupils comparison is not provided by school type as it is not appropriate to compare. The all pupils comparison for absence is taken from Pupil absence in schools in England includes absence for all pupils who attend the same types of school as the social care groups (state-funded primary, state-funded secondary, special schools and pupil referral units). The social care groups and the all pupils comparison absence data is for children of compulsory school age (age 5 to 15 at 31st August).","https://explore-education-statistics.service.gov.uk/find-statistics/outcomes-for-children-in-need-including-children-looked-after-by-local-authorities-in-england",NA,"Academic Year",NA
"369","All Pupil Absence & Exclusions","% of Children in Need who are persistent absentees 3 Terms","Children in Need who are persistent absentees (%)","CINPermAbsent_3Term","Low","% CIN","State Funded","absence_six_half_terms_la","Pupils identified as persistent absentees if they miss 10% or more of their own possible sessions.

Absence data is collected one term in arrears of the school census. In 2020, due to the pandemic absence data for 2019/20 was only collected for the autumn term 2019. In 2020 and 2021 autumn term absence data was included in this statistical release. In recent years, autumn term absence rates have given reasonable indications of trends in the full year. However, absence in a single term can be more affected by the level of seasonal flu or other illnesses. Since the return of the full year absence data in 2021, the autumn term absence data is no longer included in this statistical release from 2022.

During 2020/21, an additional code was introduced to record where pupils were not attending in circumstances related to coronavirus (COVID-19). This includes pupils self-isolating and shielding, including when a class or bubble was required to stay at home. During these sessions, these children could not attend school and so they are treated separately, and not counted within the standard absence rates within this publication. Where a pupil was not attending in these circumstances, schools were expected to provide immediate access to remote education. For most of the spring term, only children of critical workers and vulnerable pupils could attend school during the period of lockdown from 4 January 2021. Restrictions were lifted on attendance from 8 March 2021 for all other pupils, four school weeks prior to the end of term.  Due to the disruption faced during the spring term, caution should be taken when comparing data to previous years.","45778","46113","DfE","For the social care groups, absence data is matched to school census data for each school type, so the pupils included are those on the school census with absence data. The all pupils comparison figures taken from the national publication are produced using a different methodology based on enrolments and the school type is allocated in a different way. As a result of this, the all pupils comparison is not provided by school type as it is not appropriate to compare. The all pupils comparison for absence is taken from Pupil absence in schools in England and includes absence for all pupils who attend the same types of school as the social care groups (state-funded primary, state-funded secondary, special, and state-funded alternative provisions schools. The social care groups and the all pupils comparison absence data is for children of compulsory school age (age 5 to 15 at 31st August).","https://explore-education-statistics.service.gov.uk/find-statistics/outcomes-for-children-in-need-including-children-looked-after-by-local-authorities-in-england",NA,"Academic Year","N"
"370","All Pupil Absence & Exclusions","% of Children in Need subject to a Child Protection Plan who are persistent absentees 3 Terms","Children in need subject to a Child Protection Plan who are persistent absentees (%)","CPPPerAbs_3Term","Low","% CIN","State Funded","absence_six_half_terms_la","Pupils identified as persistent absentees if they miss 10% or more of their own possible sessions.

Absence data is collected one term in arrears of the school census. In 2020, due to the pandemic absence data for 2019/20 was only collected for the autumn term 2019. In 2020 and 2021 autumn term absence data was included in this statistical release. In recent years, autumn term absence rates have given reasonable indications of trends in the full year. However, absence in a single term can be more affected by the level of seasonal flu or other illnesses. Since the return of the full year absence data in 2021, the autumn term absence data is no longer included in this statistical release from 2022.

During 2020/21, an additional code was introduced to record where pupils were not attending in circumstances related to coronavirus (COVID-19). This includes pupils self-isolating and shielding, including when a class or bubble was required to stay at home. During these sessions, these children could not attend school and so they are treated separately, and not counted within the standard absence rates within this publication. Where a pupil was not attending in these circumstances, schools were expected to provide immediate access to remote education. For most of the spring term, only children of critical workers and vulnerable pupils could attend school during the period of lockdown from 4 January 2021. Restrictions were lifted on attendance from 8 March 2021 for all other pupils, four school weeks prior to the end of term.  Due to the disruption faced during the spring term, caution should be taken when comparing data to previous years.","45778","46113","DfE","For the social care groups, absence data is matched to school census data for each school type, so the pupils included are those on the school census with absence data. The all pupils comparison figures taken from the national publication are produced using a different methodology based on enrolments and the school type is allocated in a different way. As a result of this, the all pupils comparison is not provided by school type as it is not appropriate to compare. The all pupils comparison for absence is taken from Pupil absence in schools in England and includes absence for all pupils who attend the same types of school as the social care groups (state-funded primary, state-funded secondary, special, and state-funded alternative provisions schools. The social care groups and the all pupils comparison absence data is for children of compulsory school age (age 5 to 15 at 31st August).","https://explore-education-statistics.service.gov.uk/find-statistics/outcomes-for-children-in-need-including-children-looked-after-by-local-authorities-in-england",NA,"Academic Year",NA
"238","All Pupil Absence & Exclusions","Percentage of LAC pupil with at least one fixed exclusion","Children who have been looked after continuously for at least twelve months with at least one fixed term exclusion (%)","LAC_Fixed_ Ex","Low","% of Looked After Children","State Funded","permanent_exclusions_and_suspensions_la","A fixed period exclusion refers to a pupil who is excluded from a school but remains on the register of that school because they are expected to return when the exclusion period is completed.
","45778","46113","DfE","Expulsions and suspensions data is collected two terms in arrears. Pupils with one or more suspension refers to pupils who have had at least one suspension across the full academic year. 

For the social care groups, expulsions and suspensions data is matched to school census data for each school type. The all pupils comparison figures taken from the national publication are produced using a different methodology based on enrolments and the school type is allocated in a different way. As a result of this, the all pupils comparison is not provided by school type as it is not appropriate to compare. The all pupils comparison for expulsions and suspensions is taken from Permanent and fixed-period exclusions in England and includes expulsions and suspensions for all pupils who attend the same types of school as the social care groups (state-funded primary, state-funded secondary, special schools and pupil referral units). The social care groups and the all pupils comparison expulsions and suspensions data have no age restriction.","https://explore-education-statistics.service.gov.uk/find-statistics/outcomes-for-children-in-need-including-children-looked-after-by-local-authorities-in-england",2,"Academic Year",NA
"250","All Pupil Absence & Exclusions","CIN - % with at least one fixed period exclusion","Children in Need with at least one fixed period exclusion (%)","CINFixedExclusion","Low","% CIN","State Funded","permanent_exclusions_and_suspensions_la","A permanent exclusion refers to a pupil who is excluded and will not come back to that school (unless the exclusion is overturned). This data only includes permanent exclusions which have been upheld by the governing body or Independent Review Panel (IRP), and not those which are still ongoing. The permanent exclusion percentage is calculated as the number of permanent exclusions divided by the number of pupils (x100).

Expulsions and suspensions data is collected two terms in arrears.","45778","46113","DfE","Numerator: Number of school aged Children in Need at 1 April in the matched CIN-NPD dataset with:
-at least one permanent exclusion
Denominator: Number of school aged Children in Need at 1 April in the matched CIN-NPD dataset

For the social care groups, expulsions and suspensions data is matched to school census data for each school type. The all pupils comparison figures taken from the national publication are produced using a different methodology based on enrolments and the school type is allocated in a different way. As a result of this, the all pupils comparison is not provided by school type as it is not appropriate to compare. The all pupils comparison for expulsions and suspensions is taken from Permanent and fixed-period exclusions in England and includes expulsions and suspensions for all pupils who attend the same types of school as the social care groups (state-funded primary, state-funded secondary, special schools and pupil referral units). The social care groups and the all pupils comparison expulsions and suspensions data have no age restriction.","https://explore-education-statistics.service.gov.uk/find-statistics/outcomes-for-children-in-need-including-children-looked-after-by-local-authorities-in-england",2,"Academic Year",NA
"250","All Pupil Absence & Exclusions","CIN - % with at least one permanent exclusion","Children in need with at least one permanent exclusion (%)","CINPermExclusion","Low","% CIN","State Funded","permanent_exclusions_and_suspensions_la","A permanent exclusion refers to a pupil who is excluded and will not come back to that school (unless the exclusion is overturned). This data only includes permanent exclusions which have been upheld by the governing body or Independent Review Panel (IRP), and not those which are still ongoing. The permanent exclusion percentage is calculated as the number of permanent exclusions divided by the number of pupils (x100).

Expulsions and suspensions data is collected two terms in arrears.","45778","46113","DfE","Numerator: Number of school aged Children in Need at 1 April in the matched CIN-NPD dataset with:
-at least one permanent exclusion
Denominator: Number of school aged Children in Need at 1 April in the matched CIN-NPD dataset

For the social care groups, expulsions and suspensions data is matched to school census data for each school type. The all pupils comparison figures taken from the national publication are produced using a different methodology based on enrolments and the school type is allocated in a different way. As a result of this, the all pupils comparison is not provided by school type as it is not appropriate to compare. The all pupils comparison for expulsions and suspensions is taken from Permanent and fixed-period exclusions in England and includes expulsions and suspensions for all pupils who attend the same types of school as the social care groups (state-funded primary, state-funded secondary, special schools and pupil referral units). The social care groups and the all pupils comparison expulsions and suspensions data have no age restriction.","https://explore-education-statistics.service.gov.uk/find-statistics/outcomes-for-children-in-need-including-children-looked-after-by-local-authorities-in-england",2,"Academic Year",NA
"111","Youth Offending","First Time entrants to the Youth Justice System","First Time entrants to the Youth Justice System (rate)","FirstYJS","Low","Rate per 100,000 of 10-17 population",NA,"None standard - manual process","Rates of child first time entrants per 100,000 of the 10 - 17 year old population, by Local Authority of residence - Year Ending December

 The first occasion on which offenders received a caution or conviction for offences committed in England and Wales recorded on the Police National Computer by an English or Welsh police force . Where there were multiple offences on the same occasion, the primary offence as recorded on the Police National Computer would be counted. Offenders residing only in England and Wales at the time of their caution or conviction are counted. Offences resulting in Penalty Notices for Disorder are not counted as first offences.

Children recorded on the Police National Computer by an English or Welsh police force as having received their first conviction or caution. Children residing only in England and Wales at the time of their caution or conviction are counted. Offences resulting in Penalty Notices for Disorder are not counted as first offences.","45658","46023","Youth Justice board","These are estimated figures. Juveniles receiving their first conviction, caution or youth caution have been mapped to individual Local Authorities using the home address or postcode recorded by the police on the Police National Computer. Therefore caution must be taken when using these figures.

Children prosecuted by authorities other than the police have been excluded from all criminal history analysis in this chapter as the records may not capture the complete criminal history of the offenders. For this reason benefit fraud in particular may be under-represented.

Population is based on the 2021 census.","https://www.gov.uk/government/collections/youth-justice-statistics",NA,"Calendar Year",NA
"394","Youth Offending","Rate of Children cautioned or sentenced per 1,000 of 10-17 population","Children cautioned or sentenced (rate)","YJS_Caution-Sentence10-17_YO","Low","Rate per 1,000 of 10-17 population",NA,"None standard - manual process","Number of children cautioned or sentenced per 1,000 of the 10-17 population.  See local level mapping tool: https://public.tableau.com/views/ChildrenCautionedorSentencedDashboard/Dashboard12?:language=en-GB&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link","45292","TBC","Youth Justice Board","These figures relate to the number of individual children who received a youth caution or sentence and not the number of offences or disposals.

Local Youth Justice Services (YJSs) will also be working with children on bail and remand, community resolutions, other outcomes with YJS intervention, prevention programmes and with some children cautions and sentences from previous years, however these numbers are unknown. 

In addition, YJSs do not work with all children who received youth cautions. The police deal with some children who receive cautions (without conditions) as well as some first-tier outcomes, such as fines or absolute discharges, and therefore will not be referred to a YJS.

The figures include those who were aged under 18 on the date of first court appearance but aged 18 on date of sentence.

While children are only counted once in each YJS regardless of the number of offences committed or cautions or sentences given, there will be some double counting nationally where children who received a caution or sentence in one YJS then transfer to another YJS and receive a caution or sentence in the same period.","https://www.gov.uk/government/collections/youth-justice-statistics",NA,"Financial Year",NA
"114","Youth Offending","Re-offending by young offenders (10-14 year olds)","Proportion of young offenders who re-offend (10-14 year olds) (%)","ReoffYO","Low","% of reoffending",NA,"None standard - manual process","Proven reoffending for children who received a caution, received a non-custodial sentence at court or were released from custody.","45597","45962","MoJ","Young people are those aged 10-17. The young offenders cohort is established during the period January to March and includes all those receiving a pre-court disposal (reprimand or final warning) or a first-tier or community penalty or who are released from custody. This cohort is then tracked for 12 months to determine the total number of offences committed by those in the cohort. A reoffence is counted if it occurs within the 12 month tracking period and leads to a pre-court disposal or a court conviction, even if the pre-court disposal or court conviction occurs outside the 12 month period. By knowing the total number of reoffences and the total number of young people in the cohort, the average rate of reoffending can be calculated. All offences will count even if two or more offences are grouped for sentencing purposes and result in only one pre-court disposal or court conviction.","https://www.gov.uk/government/collections/proven-reoffending-statistics",2,"Financial Year",NA
"114","Youth Offending","Re-offending by young offenders (15-17 year olds)","Proportion of young offenders who re-offend (15-17 year olds) (%)","ReoffYO15-17","Low","% of reoffending",NA,"None standard - manual process","Proven reoffending for children who received a caution, received a non-custodial sentence at court or were released from custody.","45597","45962","MoJ","Young people are those aged 10-17. The young offenders cohort is established during the period January to March and includes all those receiving a pre-court disposal (reprimand or final warning) or a first-tier or community penalty or who are released from custody. This cohort is then tracked for 12 months to determine the total number of offences committed by those in the cohort. A reoffence is counted if it occurs within the 12 month tracking period and leads to a pre-court disposal or a court conviction, even if the pre-court disposal or court conviction occurs outside the 12 month period. By knowing the total number of reoffences and the total number of young people in the cohort, the average rate of reoffending can be calculated. All offences will count even if two or more offences are grouped for sentencing purposes and result in only one pre-court disposal or court conviction.","https://www.gov.uk/government/collections/proven-reoffending-statistics",2,"Financial Year",NA
"192","Economic Factors","Percentage of children in low income families","Children living in relative low income families (under 16) (%)","ChildPov","Low","% of children",NA,"None standard - manual process","The children in low income families (CiLIF) statistics, provide information on the number and proportion of children living in Relative and Absolute low income Before Housing Costs by local area across the United Kingdom.

Statistics on the number of children (by age) and the proportion of children under 16 in low income families each year are published. Figures are calibrated to the Households Below Average Income (HBAI) survey estimates but provide more granular local area information not available from the HBAI.

Following the successful completion of discovery work and a period of user engagement, these Official Statistics now calibrate figures to HBAI single-year UK estimates (instead of HBAI 2 or 3 year regional estimates).  Proportions (also referred to as rates) are calculated by dividing the unrounded number of children aged under 16 in a geographical area (for example, a local authority), by the population aged under 16 in that geographical area. Populations have been taken from mid-year population estimates which are an estimate of the usual resident population as at 30 June of the reference year (or latest available at the time of release).

","45717","46082","DWP","- These statistics are a measure of children and cannot be used to obtain the number of low-income families.
 - A family must have claimed Child Benefit and at least one other household benefit (Universal Credit, tax credits or Housing Benefit) at any point in the year to be classed as low income in these statistics.
 - Income is Before Housing Costs (BHC) and is equivalised to adjust for family size and composition. Income is defined as Gross Personal Income from benefits/tax credits, from employment and self-employment, and from occupational pensions. This is not the same as HBAI income measures, but for the purposes of looking at the distribution of family income across local areas, it offers a consistent approach that captures the main income streams.
 - Relationships are built from analyses of household benefits in payment. That is, information on sole or joint claimants of Universal Credit, Tax Credits and Housing Benefits which is used to determine claimant and partner information. When combined with Child Benefit claimant data, this view provides a measure of the family unit.
 - The statistics are not directly comparable with the predecessor of these statistics produced by HMRC.

Impact of the coronavirus (COVID-19) pandemic on statistics

The statistics are calibrated to the UK Households Below Average Income (HBAI) statistics. A full assessment of the impact of the coronavirus pandemic on these statistics is available in the technical reports which should be considered alongside interpretation of these statistics.

While the data for FYE 2021,FYE 2022, FYE 2023 has undergone extensive quality assurance prior to publication, it is recommended that users exercise additional caution when using the data, particularly when making comparisons with previous years and for local areas across countries.","https://www.gov.uk/government/collections/children-in-low-income-families-local-area-statistics",NA,"Financial Year",NA
"78","Economic Factors","Primary Free School Meals","Primary pupils eligible for free school meals (%)","PriFSM",NA,"% of pupils",NA,"spc_pupils_fsm","Children in state-funded schools in England are entitled to receive free school meals if a parent or carer were in receipt of any of the following benefits:

- Income Support
- Income-based Jobseekers Allowance
- Income-related Employment and Support Allowance
- Support under Part VI of the Immigration and Asylum Act 1999
- the guaranteed element of State Pension Credit
- Child Tax Credit (provided they were not also entitled to Working Tax Credit and had an annual gross income of no more than £16,190, as assessed by Her Majesty’s Revenue and Customs)
- Working Tax Credit run-on - paid for 4 weeks after you stop qualifying for Working Tax Credit
- Universal Credit - if you apply on or after 1 April 2018 your household income must be less than £7,400 a year (after tax and not including any benefits)

Pupils in families with no recourse to public funds (NPRF) can also be eligible for free school meals (see SfR guidance for full details).

Children in nursery schools are eligible if they meet the criteria and attend for full days, or if part time, receiving education before and after the lunch break. Pupils are still eligible for free school meals in school in sixth form, but not sixth form college or further education.

Since 1 April 2018, transitional protections have been in place which will continue during the roll out of Universal Credit. This has meant that pupils eligible for free school meals on or after 1 April 2018 retain their free school meals eligibility even if their circumstances change. Prior to the pandemic, this had been the main driver in the increase in the proportion of pupils eligible for free school meals as pupils continue to become eligible but fewer pupils stop being eligible.

Any pupil gaining eligibility for free school meals after 1 April 2018 will be protected against losing free school meals until March 2025. After March 2025, any existing claimants that no longer meet the eligibility criteria at that point (because they are earning above the threshold or are no longer a recipient of Universal Credit) will continue to receive free school meals until the end of their current phase of education (i.e. primary or secondary).","45809","46174","DfE","-","https://www.gov.uk/government/collections/statistics-school-and-pupil-numbers",NA,"Annual - January",NA
"78","Economic Factors","Secondary Free School Meals","Secondary pupils eligible for free school meals (%)","SecFSM",NA,"% of pupils",NA,"spc_pupils_fsm","Children in state-funded schools in England are entitled to receive free school meals if a parent or carer were in receipt of any of the following benefits:

- Income Support
- Income-based Jobseekers Allowance
- Income-related Employment and Support Allowance
- Support under Part VI of the Immigration and Asylum Act 1999
- the guaranteed element of State Pension Credit
- Child Tax Credit (provided they were not also entitled to Working Tax Credit and had an annual gross income of no more than £16,190, as assessed by Her Majesty’s Revenue and Customs)
- Working Tax Credit run-on - paid for 4 weeks after you stop qualifying for Working Tax Credit
- Universal Credit - if you apply on or after 1 April 2018 your household income must be less than £7,400 a year (after tax and not including any benefits)

Pupils in families with no recourse to public funds (NPRF) can also be eligible for free school meals (see SfR guidance for full details).

Children in nursery schools are eligible if they meet the criteria and attend for full days, or if part time, receiving education before and after the lunch break. Pupils are still eligible for free school meals in school in sixth form, but not sixth form college or further education.

Since 1 April 2018, transitional protections have been in place which will continue during the roll out of Universal Credit. This has meant that pupils eligible for free school meals on or after 1 April 2018 retain their free school meals eligibility even if their circumstances change. Prior to the pandemic, this had been the main driver in the increase in the proportion of pupils eligible for free school meals as pupils continue to become eligible but fewer pupils stop being eligible.

Any pupil gaining eligibility for free school meals after 1 April 2018 will be protected against losing free school meals until March 2025. After March 2025, any existing claimants that no longer meet the eligibility criteria at that point (because they are earning above the threshold or are no longer a recipient of Universal Credit) will continue to receive free school meals until the end of their current phase of education (i.e. primary or secondary).","45809","46174","DfE","-","https://www.gov.uk/government/collections/statistics-school-and-pupil-numbers",NA,"Annual - January",NA
"303","Economic Factors","Primary Free School Meals 6","Primary pupils who have been eligible for free school meals at any point in the last 6 years","Ever6_FSM_Prim","Low","% of pupils",NA,NA,"State Funded Primary pupils eligibility for free school meals at any point during the preceding six academic years.","New Data","45901","DfE","-","https://www.gov.uk/government/collections/statistics-school-and-pupil-numbers",NA,"Annual - January",NA
"303","Economic Factors","Secondary Free School Meals 6","Secondary pupils who have been eligible for free school meals at any point in the last 6 years","Ever6_FSM_Sec","Low","% of pupils",NA,NA,"State Funded Secondary pupils eligibility for free school meals at any point during the preceding six academic years.","New Data","45901","DfE","-","https://www.gov.uk/government/collections/statistics-school-and-pupil-numbers",NA,"Annual - January",NA
"382","Economic Factors","16-17 NEET (from 2016)","16-17 year olds that are Not in Education, Employment or Training (%)","16-17 NEET","Low","% of 16 - 17 year olds",NA,"yyyy_NEET_and_participation_tables","Estimated proportion of 16 and 17 year-olds not in education, employment or training (NEET).

Participation estimates are based on data collected in March each year. In order to ensure the most robust estimates of NEET and not known rates an average of December/January/February data is used for an estimate around the end of the calendar year.","45839","46204","DfE","Data is collected using the National Client Caseload Information System (NCCIS), which draws together local databases used to support young people to engage in education and training and plan services that meet young people’s needs.

Some caution should be taken if using these figures due to the estimates being based on management information and there being considerable variation at local authority level in how well 16 and 17 year olds are tracked and hence not known proportions can impact on the estimates of the proportion NEET.","https://www.gov.uk/government/publications/neet-and-participation-local-authority-figures",NA,"Financial Year",NA
"382","Economic Factors","% of 16-17 who are NEET or whose activity is not known(from 2016)","16-17 year olds who are NEET or whose activity is not known (%)","16-17_not known_NEET","Low","% of 16 - 17 year olds",NA,"yyyy_NEET_and_participation_tables","Estimated proportion of 16 and 17 year-olds not in education, employment or training (NEET) or not known.

Participation estimates are based on data collected in March each year. In order to ensure the most robust estimates of NEET and not known rates an average of December/January/February data is used for an estimate around the end of the calendar year.","45839","46204","DfE","Data is collected using the National Client Caseload Information System (NCCIS), which draws together local databases used to support young people to engage in education and training and plan services that meet young people’s needs.

Some caution should be taken if using these figures due to the estimates being based on management information and there being considerable variation at local authority level in how well 16 and 17 year olds are tracked and hence not known proportions can impact on the estimates of the proportion NEET.","https://www.gov.uk/government/publications/neet-and-participation-local-authority-figures",NA,"Financial Year",NA
"382","Economic Factors","% of 16-17 whose activity is not known (from 2016)","16-17 year olds whose current activity, is not known (%)","16-17_not known","Low","% of 16 - 17 year olds",NA,"yyyy_NEET_and_participation_tables","Estimated proportion of 16 and 17 year-olds whose NEET activity is not known.

Participation estimates are based on data collected in March each year. In order to ensure the most robust estimates of NEET and not known rates an average of December/January/February data is used for an estimate around the end of the calendar year.","45839","46204","DfE","Data is collected using the National Client Caseload Information System (NCCIS), which draws together local databases used to support young people to engage in education and training and plan services that meet young people’s needs.

Some caution should be taken if using these figures due to the estimates being based on management information and there being considerable variation at local authority level in how well 16 and 17 year olds are tracked and hence not known proportions can impact on the estimates of the proportion NEET.","https://www.gov.uk/government/publications/neet-and-participation-local-authority-figures",NA,"Financial Year",NA
"76","Contextual\Other","First language other than English - primary","Primary pupils whose first language is other than English (%)","EALPri",NA,"% of pupils",NA,"Spc_pupils_ethnicity_and_language","A pupil is recorded to have English as an additional language if they are exposed to a language at home that is known or believed to be other than English.","45809","46174","DfE","-","https://www.gov.uk/government/collections/statistics-school-and-pupil-numbers",NA,"Annual - January",NA
"76","Contextual\Other","First language other than English - secondary","Secondary pupils whose first language is other than English (%)","EALSec",NA,"% of pupils",NA,"Spc_pupils_ethnicity_and_language","A pupil is recorded to have English as an additional language if they are exposed to a language at home that is known or believed to be other than English.","45809","46174","DfE","-","https://www.gov.uk/government/collections/statistics-school-and-pupil-numbers",NA,"Annual - January",NA
"267","Contextual\Other","Number of pupil eligible for pupil premium","Pupils eligible for Pupil Premium (num)","Premium",NA,"Number of pupils",NA,"None standard - manual process","The pupil premium grant is funding to improve educational outcomes for disadvantaged pupils in state-funded schools in England.

The grant also provides support for children and young people with parents in the regular armed forces, referred to as service pupil premium (SPP). This has been combined into pupil premium payments to make it easier for schools to manage their spending. Pupils that the SPP intends to support are not necessarily from financially disadvantaged backgrounds.

Pupil premium funding is allocated to eligible schools based on the number of: a)pupils who are recorded as eligible for free school meals, or have been recorded as eligible in the past 6 years (referred to as Ever 6 FSM), B) children previously looked after by a local authority or other state care, including children adopted from state care or equivalent from outside England and Wales.

Pupil premium is not a personal budget for individual pupils, and schools do not have to spend pupil premium so that it solely benefits pupils who meet the funding criteria. It can be used: a) to support other pupils with identified needs, such as those who have or have had a social worker, or who act as a carer, b) for whole class interventions which will also benefit non-disadvantaged pupils 

Pupil premium funding is allocated to local authorities based on the number of: a) looked-after children, supported by the local authority; b) pupils who meet any of the eligibility criteria and who attend an independent setting, where the local authority pays full tuition fees

For pupils who are looked-after children, funding should be managed by the local authority’s virtual school head (VSH)  in consultation with the child’s school.","45901","46266","DfE","See published guidance for latest funding amounts","https://www.gov.uk/government/collections/local-authorities-pre-16-schools-funding",NA,"Financial Year",NA
"294","Children's Service Finance","Looked after children - S251/Outturn weekly unit costs","Looked after children - S251/Outturn weekly unit costs (approximate)","LACFinance",NA,"Unit Cost",NA,"None standard - manual process","Funding line includes:
1) Special guardianship support - financial support paid to Special Guardianship families under the Special Guardianship Regulations 2005 and other staff and overhead costs associated with Special Guardianship Orders.
 
2) Other children in looked after services - support to looked after young people

3) Short breaks (respite) for looked after disabled children - all provision for short-breaks (respite) services for disabled children who are deemed ""looked after"". 
Data excludes any break exceeding 28 days continuous care and costs associated with providing disabled children’s access to residential universal services. 

Note: By definition a child must be provided with accommodation for a continuous period of more than 24 hours before that child can be defined as being a Looked After Child (LAC) under the Children Act 1989 Section 20 and 21. If the provision period is under 24 hours then that child is not a LAC and the associated costs should be recorded in the Family Support Services section.

4) Children placed with family and friends - Where looked after children do not live with their birth parents, it is not uncommon for them to be placed with family and friend foster carers.  This Includes expenditure on the authority’s functions in relation to looked after children placed with family and friends foster carers under the Children Act 1989.

5) Education of looked after children -This includes expenditure on the services provided to promote the education of the children looked after by your local authority (e.g. looked after children education service teams and training for designated teachers).  This excludes any spend delegated to schools for looked after children.

6) Leaving care support services - This Includes local authority’s ""leaving care"" support services functions under the Children (Leaving Care) Act 2000.","45677","46042","DfE","(x/y)/365 * 7 where:

 x = Total funding on Looked after children recorded on outturn

 y = Total number of Looked after children as at 31 March

Result is rounded to nearest £5
","https://www.gov.uk/government/collections/statistics-local-authority-school-finance-data",0,"Financial Year",NA
"295","Children's Service Finance","Adoption - S251/Outturn weekly unit costs","Adoption - S251/Outturn weekly unit costs (approximate)","AdoptionFinance",NA,"Unit Cost",NA,"None standard - manual process","This includes adoption allowances for paid and other staff, overhead costs associated with adoption (including the costs of social workers seeking new / supporting existing adoptive parents) and costs related to adoption support (e.g. cost of therapeutic services).

NOTE: Adoption support services are defined as:
- Financial support;
- Services to enable groups of adoptive children, adoptive and natural parents or former guardians of an adoptive child to discuss matters relating to adoption;
- Assistance, including mediation services, in relation to contact between an adoptive child and a natural parent, natural sibling, former guardian or a related person;
- Therapeutic services for the adoptive child;
- Assistance to ensure the relation between an adopted child and his or her adoptive parents continue, (includes training for adoptive parents to meet any special needs of the child);
- Respite care
- Assistance before and after the adoption order, where the placement/arrangement is in danger of disrupting;
- Counselling, advice and information.

Refer to the Adoption Support Services Regulations 2005 for further information.

Provision of adoption support is based on assessed needs.  Financial payments are made depending on the needs of the child and are means-tested.  Children are placed with approved prospective adopters under the Adoption and Children Act 2002 and the Adoption Agencies Regulations 2005.  This is the provision of care and accommodation of children placed for adoption under the Adoption Agencies Regulation 2005.  It also covers payments made, in accordance with the Adoption Support Services Regulations 2005, to a family after an adoption order has been made.

This excludes the costs of children placed for adoption (see fostering services) and social work costs directly relating to the adopted children (see Social work).
","45677","46042","DfE","Calculation : (x/y)/365 * 7 where
 x = Total funding on Adoption Services recorded on outturn (OT) 
 y = Total number of children freed for adoption or with a placement order as at 31 March (figures under 6 are subject to suppression)

Result is rounded to nearest £5.  
","https://www.gov.uk/government/collections/statistics-local-authority-school-finance-data",0,"Financial Year",NA
